,STATUS,cEXT,cNEU,cAGR,cCON,cOPN
0,likes sound thunder.,0,1,0,0,1
1,sleepy even funny get sleep.,0,1,0,0,1
2,"sore wants knot muscles base neck stop hurting. hand, yay illinois! happy face smiley",0,1,0,0,1
3,likes day sounds new song.,0,1,0,0,1
4,home. happy face smiley,0,1,0,0,1
6,"saw nun zombie, liked it. also, *propname* + tentacle!man + psychic powers = great party.",0,1,0,0,1
7,kentucky. 421 miles 1100 mile journey home.,0,1,0,0,1
8,finish digital painting tablet went haywire. contemplating many ways wishes exact revenge faulty technology.,0,1,0,0,1
9,celebrating new haircut listening swinger music generally looking like doofus.,0,1,0,0,1
10,crush green lantern.,0,1,0,0,1
11,magic brain.,0,1,0,0,1
12,"saw transformers, up, year one week. good movie overload. laughing big grin laugh glasses",0,1,0,0,1
13,wants meet schedule pick-up day oviedo?,0,1,0,0,1
14,"desires thrill inspiration. also, money.",0,1,0,0,1
15,going bed 9happy face smiley0! yeah!,0,1,0,0,1
16,"reading, admiring permit, occasionally glancing ner mcdonald's uniform.",0,1,0,0,1
17,thinks intangibility option reality settings.,0,1,0,0,1
18,"tired. *propname*, let go sleep pl0x.",0,1,0,0,1
19,discovering many flavors insomnia.,0,1,0,0,1
20,"watching cousin play computer game televison box thing. also, sleepy.",0,1,0,0,1
21,getting urge draw stuff school? great dismay,0,1,0,0,1
22,who'da thought single text message could enough change mind?,0,1,0,0,1
23,wishes develop super power prevents needing sleep.,0,1,0,0,1
24,"tell draw, plox.",0,1,0,0,1
25,"found bunny, bunny died, buried bunny, drawing.",0,1,0,0,1
26,happy face smiley,0,1,0,0,1
27,insane now.,0,1,0,0,1
28,wants sleep eight hours tonight. shall.,0,1,0,0,1
29,"really hates hormones emotions right now. well, hated lot recently. goodness.",0,1,0,0,1
30,watch matches glasses. wishes spazzed glee saw store.,0,1,0,0,1
31,"loved 9! allegory, symbolism, talking ragdolls, satire, explosions! yes!",0,1,0,0,1
32,sit futon knows soon lie pass out. uncomfortable rolly desk chair is. frown sad andry pouting,0,1,0,0,1
33,"spend less time writing chapters story never finish, try reading books. preferably, daytime, 3:00 am.",0,1,0,0,1
34,watching kid's cartoons wishing old.,0,1,0,0,1
35,"work tomorrow, hopes teach use cash register. laughing big grin laugh glasses",0,1,0,0,1
36,"grateful work wait ride home afternoon open house. sleeeep, beckons.",0,1,0,0,1
37,really confusing internal dilemma. also wonders anyone guess is.,0,1,0,0,1
38,thinks needs stop leaving many pictures half-done getting new ideas.,0,1,0,0,1
39,"grown weary drawing paranoid, soldier//housewife jynx character comic form, must thusly go sleep replenish desire work tirelessly mere audition.",0,1,0,0,1
40,seeing 9 tonight... maybe?,0,1,0,0,1
41,"going work comics, crash futon love unconsciousness deserves.",0,1,0,0,1
42,weekend. love you.,0,1,0,0,1
43,"listening relient k thinking plants, lawyers, internships.",0,1,0,0,1
44,"drawing instead homeworking. straight face fun, good.",0,1,0,0,1
45,sleep like champion tonight.,0,1,0,0,1
46,"dishes, webcomics, laziness, internal lack disruption. alright.",0,1,0,0,1
47,"wishes ticklish sometimes. right now, though, one times. happy face smiley",0,1,0,0,1
48,magical ceiling.,0,1,0,0,1
49,"went bed early, slept in, still feels like hasn'tgotten proper night's sleep.",0,1,0,0,1
50,"got taught use register (happy face smiley!!!~confusion, enjoyed (500confusion days summer, looking forward going beach monday.",0,1,0,0,1
51,hates fml principle.,0,1,0,0,1
52,realizes traditional media hate shunned penvcils favor tablet. learn  them.,0,1,0,0,1
53,"prepared weekend homeowrk morning due, realized left necessary binder school. fffffffffffff-",0,1,0,0,1
54,"early work blargedy-argdey-blah. minimuuum waaaage, looove youuu.",0,1,0,0,1
